Periodo,IPCGEN,IPCSAE,IPCSV,TPM
01dec2018,2.6,2.3,2.270701782,2.75
01jan2019,1.8,1.9,2.1,2.76
01feb2019,1.7,2,2.1,3
01mar2019,2,2,2.2,3
01apr2019,2,1.9,2.3,3
01may2019,2.3,2,2.2,3
01jun2019,2.3,2.1,2.2,2.63
01jul2019,2.2,2.2,2.2,2.5
01aug2019,2.3,2.4,2.2,2.5
01sep2019,2.1,2.3,2.3,2.06
01oct2019,2.5,2.6,2.5,1.94
01nov2019,2.7,2.5,2.4,1.75
01dec2019,3,2.5,2.6,1.75
01jan2020,3.5,2.5,2.4,1.75
01feb2020,3.9,2.7,2.6,1.75
01mar2020,3.7,2.5,2.6,1.38
01apr2020,3.4,2.3,2.7,.5
01may2020,2.8,2.1,2.6,.5
01jun2020,2.6,2,2.5,.5
01jul2020,2.5,1.8,2.5,.5
01aug2020,2.4,1.9,2.6,.5
01sep2020,3.1,2.2,2.9,.5
01oct2020,3,2.4,3.2,.5
01nov2020,2.7,2.3,3.2,.5
01dec2020,3,2.6,3.3,.5
01jan2021,3.1,2.6,3.5,.5
01feb2021,2.8,2.4,3.2,.5
01mar2021,2.9,2.6,3,.5
01apr2021,3.3,2.8,3.1,.5
01may2021,3.6,3.1,3.4,.5
01jun2021,3.8,3.1,3.2,.5
01jul2021,4.5,3.6,3.8,.63
01aug2021,4.8,3.8,3.8,.75
01sep2021,5.3,4.4,4.2,1.5
01oct2021,6,5.1,3.9,2.25
01nov2021,6.7,5.8,4.7,2.75
01dec2021,7.2,6.4,5.2,3.46
01jan2022,7.7,7.1,5.8,4.21
01feb2022,7.8,6.6,6.5,5.5
01mar2022,9.4,7.4,7.6,5.63
01apr2022,10.5,8.300000000000001,8.300000000000001,7
01may2022,11.5,9,9,8.02
01jun2022,12.5,9.9,9.9,8.81
01jul2022,13.1,10.3,10,9.43
01aug2022,14.1,10.9,10.8,9.75
01sep2022,13.7,10.3,11.1,10.55
01oct2022,12.8,9.300000000000001,10.8,11.07
01nov2022,13.3,9.5,11,11.25
01dec2022,12.8,8.6,10.7,11.25
01jan2023,12.3,8.6,10.6,11.25
01feb2023,11.9,9.1,10.7,11.25
01mar2023,11.1,9.4,10.8,11.25
01apr2023,9.9,8.699999999999999,10.3,11.25
01may2023,8.699999999999999,7.9,9.9,11.25
01jun2023,7.6,6.9,9.1,11.25
